id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
1216494,Abu Dhabi,2020-10-21,Mohammed Siraj,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,wickets,8,N,NA,VK Sharma,S Ravi
1216518,NA,2020-10-22,MK Pandey,Dubai International Cricket Stadium,0,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8,N,NA,Nitin Menon,PR Reiffel
1216521,NA,2020-10-23,TA Boult,Sharjah Cricket Stadium,0,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,10,N,NA,C Shamshuddin,VA Kulkarni
1216497,Abu Dhabi,2020-10-24,CV Varun,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,runs,59,N,NA,CB Gaffaney,PG Pathak
1216498,NA,2020-10-24,CJ Jordan,Dubai International Cricket Stadium,0,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,runs,12,N,NA,AY Dandekar,PR Reiffel
1216541,Abu Dhabi,2020-10-25,BA Stokes,Sheikh Zayed Stadium,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,wickets,8,N,NA,UV Gandhe,VK Sharma
1216544,NA,2020-10-25,RD Gaikwad,Dubai International Cricket Stadium,0,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,wickets,8,N,NA,C Shamshuddin,RK Illingworth
1216520,NA,2020-10-26,CH Gayle,Sharjah Cricket Stadium,0,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,8,N,NA,KN Ananthapadmanabhan,RK Illingworth
1216524,NA,2020-10-27,WP Saha,Dubai International Cricket Stadium,0,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,88,N,NA,AK Chaudhary,Nitin Menon
1216499,Abu Dhabi,2020-10-28,SA Yadav,Sheikh Zayed Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5,N,NA,UV Gandhe,CB Gaffaney
1216536,NA,2020-10-29,RD Gaikwad,Dubai International Cricket Stadium,0,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6,N,NA,C Shamshuddin,RK Illingworth
1216537,Abu Dhabi,2020-10-30,BA Stokes,Sheikh Zayed Stadium,0,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,N,NA,CB Gaffaney,S Ravi
1216502,NA,2020-10-31,Sandeep Sharma,Sharjah Cricket Stadium,0,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5,N,NA,KN Ananthapadmanabhan,K Srinivasan
1216535,NA,2020-10-31,Ishan Kishan,Dubai International Cricket Stadium,0,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9,N,NA,YC Barde,PR Reiffel
1216506,Abu Dhabi,2020-11-01,RD Gaikwad,Sheikh Zayed Stadium,0,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,9,N,NA,PG Pathak,VK Sharma
1216530,NA,2020-11-01,PJ Cummins,Dubai International Cricket Stadium,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,60,N,NA,Nitin Menon,PR Reiffel
1216505,Abu Dhabi,2020-11-02,A Nortje,Sheikh Zayed Stadium,0,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6,N,NA,CB Gaffaney,S Ravi
1216495,NA,2020-11-03,S Nadeem,Sharjah Cricket Stadium,0,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,10,N,NA,C Shamshuddin,RK Illingworth
1237177,NA,2020-11-05,JJ Bumrah,Dubai International Cricket Stadium,0,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,57,N,NA,CB Gaffaney,Nitin Menon
1237178,Abu Dhabi,2020-11-06,KS Williamson,Sheikh Zayed Stadium,0,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6,N,NA,PR Reiffel,S Ravi
1237180,Abu Dhabi,2020-11-08,MP Stoinis,Sheikh Zayed Stadium,0,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,runs,17,N,NA,PR Reiffel,S Ravi
1237181,NA,2020-11-10,TA Boult,Dubai International Cricket Stadium,0,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,5,N,NA,CB Gaffaney,Nitin Menon
1254058,Chennai,2021-04-09,HV Patel,"MA Chidambaram Stadium, Chepauk, Chennai",0,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,2,N,NA,KN Ananthapadmanabhan,Nitin Menon
1254059,Mumbai,2021-04-10,S Dhawan,"Wankhede Stadium, Mumbai",0,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7,N,NA,AK Chaudhary,VK Sharma
1254060,Chennai,2021-04-11,N Rana,"MA Chidambaram Stadium, Chepauk, Chennai",0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,10,N,NA,KN Ananthapadmanabhan,Nitin Menon
1254061,Mumbai,2021-04-12,SV Samson,"Wankhede Stadium, Mumbai",0,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,runs,4,N,NA,AK Chaudhary,S Ravi
1254062,Chennai,2021-04-13,RD Chahar,"MA Chidambaram Stadium, Chepauk, Chennai",0,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,10,N,NA,C Shamshuddin,CB Gaffaney
1254063,Chennai,2021-04-14,GJ Maxwell,"MA Chidambaram Stadium, Chepauk, Chennai",0,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,6,N,NA,Nitin Menon,UV Gandhe
1254064,Mumbai,2021-04-15,JD Unadkat,"Wankhede Stadium, Mumbai",0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,N,NA,S Ravi,VK Sharma
1254065,Mumbai,2021-04-16,DL Chahar,"Wankhede Stadium, Mumbai",0,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6,N,NA,AK Chaudhary,AY Dandekar
1254066,Chennai,2021-04-17,KA Pollard,"MA Chidambaram Stadium, Chepauk, Chennai",0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,runs,13,N,NA,CB Gaffaney,K Srinivasan
1254067,Chennai,2021-04-18,AB de Villiers,"MA Chidambaram Stadium, Chepauk, Chennai",0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,38,N,NA,C Shamshuddin,Nitin Menon
1254068,Mumbai,2021-04-18,S Dhawan,"Wankhede Stadium, Mumbai",0,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6,N,NA,AK Chaudhary,PR Reiffel
1254069,Mumbai,2021-04-19,MM Ali,"Wankhede Stadium, Mumbai",0,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,45,N,NA,PR Reiffel,VK Sharma
1254070,Chennai,2021-04-20,A Mishra,"MA Chidambaram Stadium, Chepauk, Chennai",0,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Delhi Capitals,wickets,6,N,NA,C Shamshuddin,CB Gaffaney
1254071,Chennai,2021-04-21,JM Bairstow,"MA Chidambaram Stadium, Chepauk, Chennai",0,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,wickets,9,N,NA,K Srinivasan,Nitin Menon
1254072,Mumbai,2021-04-21,F du Plessis,"Wankhede Stadium, Mumbai",0,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,runs,18,N,NA,AY Dandekar,PR Reiffel
1254073,Mumbai,2021-04-22,D Padikkal,"Wankhede Stadium, Mumbai",0,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,10,N,NA,J Madanagopal,S Ravi
1254074,Chennai,2021-04-23,KL Rahul,"MA Chidambaram Stadium, Chepauk, Chennai",0,Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,9,N,NA,C Shamshuddin,Nitin Menon
1254075,Mumbai,2021-04-24,CH Morris,"Wankhede Stadium, Mumbai",0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,6,N,NA,Navdeep Singh,S Ravi
1254076,Mumbai,2021-04-25,RA Jadeja,"Wankhede Stadium, Mumbai",0,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,runs,69,N,NA,AK Chaudhary,VK Sharma
1254077,Chennai,2021-04-25,PP Shaw,"MA Chidambaram Stadium, Chepauk, Chennai",0,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,tie,NA,Y,NA,CB Gaffaney,KN Ananthapadmanabhan
1254078,Ahmedabad,2021-04-26,EJG Morgan,"Narendra Modi Stadium, Ahmedabad",0,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,5,N,NA,PR Reiffel,YC Barde
1254079,Ahmedabad,2021-04-27,AB de Villiers,"Narendra Modi Stadium, Ahmedabad",0,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,runs,1,N,NA,S Ravi,VK Sharma
1254080,Delhi,2021-04-28,RD Gaikwad,"Arun Jaitley Stadium, Delhi",0,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,wickets,7,N,NA,C Shamshuddin,CK Nandan
1254081,Delhi,2021-04-29,Q de Kock,"Arun Jaitley Stadium, Delhi",0,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,7,N,NA,CB Gaffaney,KN Ananthapadmanabhan
1254082,Ahmedabad,2021-04-29,PP Shaw,"Narendra Modi Stadium, Ahmedabad",0,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7,N,NA,AK Chaudhary,YC Barde
1254083,Ahmedabad,2021-04-30,Harpreet Brar,"Narendra Modi Stadium, Ahmedabad",0,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,runs,34,N,NA,S Ravi,VK Sharma
1254084,Delhi,2021-05-01,KA Pollard,"Arun Jaitley Stadium, Delhi",0,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,4,N,NA,KN Ananthapadmanabhan,CK Nandan
1254085,Delhi,2021-05-02,JC Buttler,"Arun Jaitley Stadium, Delhi",0,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,runs,55,N,NA,C Shamshuddin,CB Gaffaney
1254086,Ahmedabad,2021-05-02,MA Agarwal,"Narendra Modi Stadium, Ahmedabad",0,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7,N,NA,AK Chaudhary,AY Dandekar
1254104,Dubai,2021-09-19,RD Gaikwad,Dubai International Cricket Stadium,0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,runs,20,N,NA,Nitin Menon,RK Illingworth
1254087,Abu Dhabi,2021-09-20,CV Varun,"Zayed Cricket Stadium, Abu Dhabi",0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Kolkata Knight Riders,wickets,9,N,NA,CB Gaffaney,S Ravi
1254111,Dubai,2021-09-21,Kartik Tyagi,Dubai International Cricket Stadium,0,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,runs,2,N,NA,AK Chaudhary,MA Gough
1254105,Dubai,2021-09-22,A Nortje,Dubai International Cricket Stadium,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,wickets,8,N,NA,KN Ananthapadmanabhan,RK Illingworth
1254096,Abu Dhabi,2021-09-23,SP Narine,"Zayed Cricket Stadium, Abu Dhabi",0,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7,N,NA,S Ravi,VK Sharma
1254113,Sharjah,2021-09-24,DJ Bravo,Sharjah Cricket Stadium,0,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6,N,NA,AK Chaudhary,Nitin Menon
1254097,Abu Dhabi,2021-09-25,SS Iyer,"Zayed Cricket Stadium, Abu Dhabi",0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,runs,33,N,NA,CB Gaffaney,UV Gandhe
1254107,Sharjah,2021-09-25,JO Holder,Sharjah Cricket Stadium,0,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Punjab Kings,runs,5,N,NA,RK Illingworth,YC Barde
1254098,Abu Dhabi,2021-09-26,RA Jadeja,"Zayed Cricket Stadium, Abu Dhabi",0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,2,N,NA,CB Gaffaney,Tapan Sharma
1254108,Dubai,2021-09-26,GJ Maxwell,Dubai International Cricket Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,runs,54,N,NA,AK Chaudhary,MA Gough
1254100,Dubai,2021-09-27,JJ Roy,Dubai International Cricket Stadium,0,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,wickets,7,N,NA,KN Ananthapadmanabhan,Navdeep Singh
1254092,Sharjah,2021-09-28,SP Narine,Sharjah Cricket Stadium,0,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,3,N,NA,Nitin Menon,HAS Khalid
1254099,Abu Dhabi,2021-09-28,KA Pollard,"Zayed Cricket Stadium, Abu Dhabi",0,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,6,N,NA,S Ravi,VK Sharma
1254103,Dubai,2021-09-29,YS Chahal,Dubai International Cricket Stadium,0,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,7,N,NA,AY Dandekar,KN Ananthapadmanabhan
1254091,Sharjah,2021-09-30,JR Hazlewood,Sharjah Cricket Stadium,0,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6,N,NA,Nitin Menon,YC Barde
1254102,Dubai,2021-10-01,KL Rahul,Dubai International Cricket Stadium,0,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,5,N,NA,KN Ananthapadmanabhan,RK Illingworth
1254089,Abu Dhabi,2021-10-02,RD Gaikwad,"Zayed Cricket Stadium, Abu Dhabi",0,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,N,NA,CB Gaffaney,VK Sharma
1254112,Sharjah,2021-10-02,AR Patel,Sharjah Cricket Stadium,0,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,4,N,NA,AK Chaudhary,MA Gough
1254090,Sharjah,2021-10-03,GJ Maxwell,Sharjah Cricket Stadium,0,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,6,N,NA,KN Ananthapadmanabhan,RK Illingworth
1254109,Dubai,2021-10-03,Shubman Gill,Dubai International Cricket Stadium,0,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,6,N,NA,J Madanagopal,MA Gough
1254110,Dubai,2021-10-04,AR Patel,Dubai International Cricket Stadium,0,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,3,N,NA,AK Chaudhary,Nitin Menon
1254093,Sharjah,2021-10-05,NM Coulter-Nile,Sharjah Cricket Stadium,0,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8,N,NA,AK Chaudhary,MA Gough
1254095,Abu Dhabi,2021-10-06,KS Williamson,"Zayed Cricket Stadium, Abu Dhabi",0,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,runs,4,N,NA,S Ravi,UV Gandhe
1254094,Dubai,2021-10-07,KL Rahul,Dubai International Cricket Stadium,0,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,6,N,NA,K Srinivasan,RK Illingworth
1254106,Sharjah,2021-10-07,Shivam Mavi,Sharjah Cricket Stadium,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,86,N,NA,MA Gough,HAS Khalid
1254088,Abu Dhabi,2021-10-08,Ishan Kishan,"Zayed Cricket Stadium, Abu Dhabi",0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,runs,42,N,NA,Tapan Sharma,VK Sharma
1254101,Dubai,2021-10-08,KS Bharat,Dubai International Cricket Stadium,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,7,N,NA,KN Ananthapadmanabhan,Nitin Menon
1254114,Dubai,2021-10-10,RD Gaikwad,Dubai International Cricket Stadium,0,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4,N,NA,Nitin Menon,RK Illingworth
1254115,Sharjah,2021-10-11,SP Narine,Sharjah Cricket Stadium,0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Kolkata Knight Riders,wickets,4,N,NA,CB Gaffaney,VK Sharma
1254116,Sharjah,2021-10-13,VR Iyer,Sharjah Cricket Stadium,0,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,3,N,NA,KN Ananthapadmanabhan,MA Gough
1254117,Dubai,2021-10-15,F du Plessis,Dubai International Cricket Stadium,0,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,runs,27,N,NA,Nitin Menon,RK Illingworth
1304047,Mumbai,2022-03-26,UT Yadav,"Wankhede Stadium, Mumbai",0,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6,N,NA,AK Chaudhary,Nitin Menon
1304048,Mumbai,2022-03-27,Kuldeep Yadav,"Brabourne Stadium, Mumbai",0,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,4,N,NA,RJ Tucker,HAS Khalid
1304049,Mumbai,2022-03-27,OF Smith,"Dr DY Patil Sports Academy, Mumbai",0,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,5,N,NA,Nitin Menon,YC Barde
1304050,Mumbai,2022-03-28,Mohammed Shami,"Wankhede Stadium, Mumbai",0,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,5,N,NA,PG Pathak,VK Sharma
1304051,Pune,2022-03-29,SV Samson,"Maharashtra Cricket Association Stadium, Pune",0,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,runs,61,N,NA,BNJ Oxenford,UV Gandhe
1304052,Mumbai,2022-03-30,PWH de Silva,"Dr DY Patil Sports Academy, Mumbai",0,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,3,N,NA,J Madanagopal,Navdeep Singh
1304053,Mumbai,2022-03-31,E Lewis,"Brabourne Stadium, Mumbai",0,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,wickets,6,N,NA,RJ Tucker,VK Sharma
1304054,Mumbai,2022-04-01,UT Yadav,"Wankhede Stadium, Mumbai",0,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6,N,NA,AK Chaudhary,HAS Khalid
1304055,Mumbai,2022-04-02,JC Buttler,"Dr DY Patil Sports Academy, Mumbai",0,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,runs,23,N,NA,Nitin Menon,PG Pathak
